,IDADE,RENDA_TITULAR,CLASS,ESTADO_CIVIL_CO,ESTADO_CIVIL_SE,ESTADO_CIVIL_SO,ESTADO_CIVIL_VI,CATEGORIAL_PROFISSAO_APOSENTADO,CATEGORIAL_PROFISSAO_ASSALARIADO,CATEGORIAL_PROFISSAO_AUT+NOMO,CATEGORIAL_PROFISSAO_LIBERAL,TIPO_RESIDENCIA_FA,TIPO_RESIDENCIA_FI,TIPO_RESIDENCIA_OU,TIPO_RESIDENCIA_PR,TIPO_RESIDENCIA_SM
109,21,6585.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
110,55,1000.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
111,35,1900.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
112,31,1115.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
114,63,800.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
116,51,1000.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
117,45,1096.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
118,37,1131.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
119,38,1500.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
123,32,1600.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
124,31,2000.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
125,34,3030.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
126,61,1651.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
128,20,576.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
130,30,500.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
131,52,1278.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
133,28,3000.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
134,22,1110.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
135,44,1107.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
136,21,936.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
137,29,2217.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
138,53,1360.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
139,43,1500.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
140,50,1315.83,1,0,0,1,0,0,1,0,0,0,0,0,1,0
142,40,927.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
143,53,937.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
144,45,1300.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
145,57,1200.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
146,35,1000.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
147,48,2000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
148,37,1500.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
150,26,680.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
152,30,1377.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
156,70,2319.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
157,21,800.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
159,25,1300.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
160,22,1000.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
161,20,500.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
162,44,1705.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
163,50,2900.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
165,30,1180.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
167,23,906.7,1,0,0,1,0,0,1,0,0,0,0,1,0,0
168,22,900.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
169,54,1100.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
170,33,1200.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
172,37,3500.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
173,59,937.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
174,51,937.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
175,39,1270.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
177,75,2500.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
178,51,1400.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
179,31,1232.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
180,39,10000.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
181,52,1120.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
182,24,1400.01,1,0,0,1,0,0,0,1,0,0,0,1,0,0
184,23,800.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
185,36,3423.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
186,27,2500.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
188,29,1700.0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
189,43,3212.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
191,48,4000.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
193,39,2800.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
194,23,1400.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
197,31,1324.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
200,24,1500.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
201,23,1200.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
203,37,3000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
204,35,2100.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
206,46,1370.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
207,30,1135.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
209,52,1230.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
210,22,1500.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
211,47,2000.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
212,21,1010.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
213,22,1300.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
214,21,1388.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
215,59,2000.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
216,23,1200.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
217,20,868.16,1,0,0,1,0,1,0,0,0,0,0,0,1,0
218,28,900.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
220,60,3427.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
222,21,551.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
223,35,1496.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
224,88,1601.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
225,34,1500.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
226,28,1453.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
228,50,800.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
229,20,1300.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
230,62,970.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
232,20,1400.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
233,22,1026.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
235,43,2500.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
236,36,1270.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
237,22,1400.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
238,21,1005.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
239,49,1600.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
240,50,500.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
241,38,1200.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
242,71,1573.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
243,30,1797.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
244,21,1200.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
245,63,720.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
246,48,1500.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
247,46,2276.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
249,20,937.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
250,21,1200.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
255,33,890.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
256,22,1100.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
257,66,937.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
258,34,924.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
260,40,1769.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
261,39,1200.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
262,43,1343.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
263,21,1128.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
265,52,876.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
268,36,1349.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
269,58,1915.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
270,60,3000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
271,23,1785.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
272,53,1100.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
273,25,1200.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
274,66,3000.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
275,27,800.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
277,54,3000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
278,31,1600.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
279,23,1160.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
280,22,1000.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
281,55,1230.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
282,21,1127.87,1,0,0,1,0,0,1,0,0,0,0,0,1,0
283,45,1600.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
284,20,1300.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
286,46,1259.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
287,72,11731.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
288,40,4000.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
289,22,1009.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
291,47,1200.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
292,32,1200.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
293,34,1317.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
294,37,1220.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
296,67,937.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
297,60,938.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
299,35,1431.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
300,64,890.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
301,59,1000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
304,71,805.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
305,22,1691.3,1,0,0,1,0,0,1,0,0,0,0,0,0,0
306,30,1900.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
307,60,2000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
308,27,1300.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
309,20,500.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
312,50,764.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
313,22,1600.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
314,52,1700.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
315,49,2470.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
316,26,1200.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
317,39,1500.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
318,39,1200.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
319,33,740.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
320,24,3500.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
321,32,1250.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
322,20,1500.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
323,38,3087.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
324,53,937.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
326,34,982.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
327,67,937.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
328,39,1140.47,1,0,0,1,0,0,1,0,0,0,0,0,0,0
329,49,1500.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
330,69,1500.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
331,44,1994.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
332,36,1800.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
333,27,980.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
334,31,1953.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
336,72,936.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
337,33,2100.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
338,28,1000.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
339,31,2892.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
340,55,1103.66,1,0,0,1,0,0,1,0,0,0,0,0,1,0
341,32,2800.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
342,53,1160.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
343,27,1800.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
346,20,1180.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
347,86,897.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
348,21,1750.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
349,21,940.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
350,48,2084.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
352,36,1418.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
353,30,2500.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
354,45,2500.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
355,21,600.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
356,66,2180.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
358,51,1132.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
361,42,989.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
362,51,1215.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
363,30,1800.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
364,67,937.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
365,24,1400.0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
367,59,1500.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
368,52,2600.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
369,58,937.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
370,29,1700.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
372,40,1800.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
373,35,1707.75,1,1,0,0,0,0,1,0,0,1,0,0,0,0
374,33,1300.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
376,70,1874.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
378,61,1800.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
379,38,2000.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
383,37,1200.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
385,35,2317.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
386,66,937.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
388,32,1600.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
389,46,1308.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
391,20,1200.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
392,40,665.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
393,55,937.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
394,59,7110.13,1,0,1,0,0,0,1,0,0,0,0,0,1,0
395,56,950.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
396,34,1230.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
397,81,947.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
398,61,1500.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
400,24,1768.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
403,26,1100.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
404,29,3040.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
405,27,1000.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
406,62,2985.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
412,56,915.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
413,34,1207.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
414,56,1129.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
415,36,2320.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
416,31,4640.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
417,35,2166.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
418,50,2500.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
419,47,880.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
420,31,2000.01,1,0,0,1,0,0,0,0,0,0,0,0,1,0
422,34,1024.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
424,52,1410.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
425,20,1200.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
426,25,1800.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
427,28,937.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
428,73,3569.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
429,61,937.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
430,23,1100.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
431,33,1500.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
432,36,1200.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
434,49,1020.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
436,58,2900.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
437,67,1718.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
441,64,947.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
442,70,1706.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
444,55,937.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
445,55,1805.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
447,60,930.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
448,52,1500.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
449,31,1500.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
450,33,2451.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
451,27,1228.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
452,34,2000.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
453,51,1131.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
458,59,1676.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
459,31,1154.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
460,70,930.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
461,44,1673.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
462,34,4341.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
464,39,1160.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
465,40,2511.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
466,79,7366.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
467,47,2000.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
468,67,930.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
470,42,2000.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
471,34,1170.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
472,41,3103.42,1,0,0,0,0,0,1,0,0,0,1,0,0,0
473,41,1720.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
474,43,1100.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
475,72,1000.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
477,50,1500.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
478,36,3000.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
479,54,1500.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
480,28,1700.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
